Probe Name	Accession #	NS Probe ID	Class Name	Analyte Type	% Samples above Threshold	Annotation																																														
								Mock1	Mock2	Mock3	1493-1 6h	1493-1 6h	1493-1 6h	1493-2 6h	1493-2 6h	1493-2 6h	1493-1 24h	1493-1 24h	1493-1 24h	1493-2 24h	1493-2 24h	1493-2 24h	Mock4	Mock5	Mock6	1488-1 6h	1488-1 6h	1488-1 6h	1488-2 6h	1488-2 6h	1488-2 6h	1488-1 24h	1488-1 24h	1488-1 24h	1488-2 24h	1488-2 24h	1488-2 24h	Mock7	Mock8	Mock9	1484-1 24h	1484-1 24h	1484-1 24h	1484-2 24h	1484-2 24h	1484-2 24h	1484-2 6h	1484-2 6h	1484-2 6h	1484-1 6h	1484-1 6h	1484-1 6h
Atg1	XM_011538798.2	Atg1	Endogenous	mRNA	100			102.92	119.92	98.02	166.41	141.33	127.08	117.86	113.95	102.51	123.61	136.69	108.94	115.27	125.47	131.17	90.14	62.31	56.56	94.13	80.12	85.8	70.56	74.84	56.77	65.86	68.17	73.66	88.55	97.2	94.2	68.95	85.28	83.15	80.24	77.04	65.88	108.05	112.98	112.63	105.61	95.01	77.04	62.64	61.05	69.48
Atg8	NM_007285.6	Atg8	Endogenous	mRNA	100			757.15	709.53	697.67	885.63	790.21	889.58	656.65	697.46	718.59	815.81	821.21	842.88	587.4	582.23	548.26	390.18	411.32	425.32	435.33	423	394.92	404.93	380.88	384.27	461.05	449.41	464.73	548.1	532.49	599.43	538.87	514.77	531.21	527.34	534.18	547.46	573.91	600.18	576.54	532.03	514.91	512.77	453.22	477.84	443.39
BAD	NM_004322.3	BAD	Endogenous	mRNA	100			70.98	67.95	62.27	95.9	77.5	92.42	97.28	85.12	70.8	89.78	65.61	61.62	73.5	62.1	77.84	70.38	67.68	57.47	89.77	48.9	61	66.92	47.58	54.39	45.45	57.12	68.83	73.62	71.14	61.92	58.43	70.98	66.1	61.83	66.22	57.09	85.97	79.87	87.43	79.69	135.31	100.09	69.65	90.85	77.9
BAX	NM_138761.3	BAX	Endogenous	mRNA	100			903.84	860.43	881.03	946.27	978.65	852.36	841.85	922.62	921.49	923.81	925.1	924.31	710.07	737.16	746.89	543.88	573.18	545.33	575.92	640.24	639.65	545.16	635.52	600.22	678.36	625.89	635.37	724.12	759.31	745.05	686.8	707.28	700.22	699.7	674.07	776.19	649.09	645.43	582.01	605.75	593.55	588.4	597.02	572.5	534.54
BCL-2	NM_000657.2	BCL-2	Endogenous	mRNA	100			44.96	42.97	71.5	50.77	60.79	78.3	81.38	67.27	51.78	72.86	56.86	72.62	50.29	38.86	48.77	66.15	41.55	42.58	49.45	28.49	35.11	43.47	33.27	31.11	71.61	56.2	66.42	70.94	68.1	61.91	61.46	61.94	61.36	61.57	63.73	72.47	46.45	65.42	49.11	51.53	56.67	47.34	71.02	46.26	52.45
BCLXL	NM_001191.3	BCLXL	Endogenous	mRNA	100			149.06	142.91	167.21	136.79	148.92	139.92	132.83	141.41	158.51	140.52	142.15	136.45	143.06	160.87	155.49	155.95	149.23	147.47	135.55	193.44	146.89	126.66	179	169.45	124.58	137.69	138.37	96.45	115.34	136.99	132.63	114.4	115.25	111.65	104.23	145.83	131.91	122.6	114.42	109.14	104.49	127.53	135.95	108.28	127.44
BDNF	NM_170732.4	BDNF	Endogenous	mRNA	100			17.75	15.99	11.53	14.1	13.68	17.97	17.77	19.22	14.79	18.22	20.78	26.41	6.96	6.41	1.49	14.16	7.97	2.64	10.04	7.65	1.85	3.37	4.47	5.31	5.71	13.52	15.97	5.55	4.38	9.73	1.57	10.71	12.73	4.05	10.28	7.83	5.88	8.28	8.61	10.54	6.15	4.69	9.21	5.62	4.69
BLNK	NM_013314.2	BLNK	Endogenous	mRNA	100			84	99.93	101.48	101.54	106.37	114.25	100.09	108.46	103.56	100.19	99.51	105.64	106.16	96.09	99.78	147.24	92.78	105.89	118.02	102.87	118.48	97.13	120.59	103.85	60.14	67.77	64.75	77.4	57.94	69.74	60.45	84.73	88.71	70.36	62.68	78.84	112.4	83.41	118.54	146.65	132.7	131.1	147.66	142.13	125.71
BMAL1 (ARNTL)	NM_001030272.1	BMAL1 (ARNTL)	Endogenous	mRNA	100			255.54	204.86	236.4	236.92	267.46	219.51	215.14	232.03	253.62	219.89	205.58	183.76	173.28	148.89	169.66	198.52	116.1	122.58	136.18	103.54	117.57	144.62	110.93	109.44	110.08	128.8	118.76	148.08	134.85	140.99	138.45	136.98	149.28	138.7	143.35	139.7	123.33	143.78	157.52	154.25	163.58	149.65	152.61	147.2	143.83
CASP3	NM_004346.3	CASP3	Endogenous	mRNA	100			408.15	415.72	402.46	445.64	442.22	482.66	368.54	367.95	412.13	407.26	400.22	387.33	320.69	320.47	308.76	289.51	252.87	236.85	273.24	245.05	279.69	236.57	252.73	229.75	312.28	300.39	301.66	370	334.91	366.55	355.97	330.87	350.79	364.82	349.11	382.25	440.65	423.68	454.44	288.64	299.79	315.14	280.72	316.44	310.58
CASP8	NM_001228.4	CASP8	Endogenous	mRNA	100			670.78	646.57	650.39	736.15	750.7	680.35	701.54	705.69	847.52	809.31	682.34	654.72	657.38	605.75	670.1	698.9	405.57	400.49	481.61	410.63	431.14	495.5	363.35	309.08	453.63	442.2	510.85	558.45	588.66	561.89	508.23	541.56	570.19	525.46	537.35	561.76	599.57	528.17	579.4	639.87	585.13	529.8	637.84	625.45	574.25
CASP9	XM_011542270.1	CASP9	Endogenous	mRNA	100			112.39	102.93	100.33	135.38	144.37	138.64	115.05	123.57	106.73	128.81	132.31	118.84	99.06	106.05	103.69	73.67	60.69	72.62	95.66	83.24	84.63	66.3	74.37	60.16	147.44	94.83	119.81	146.88	154.72	167.59	137.09	141.29	160.13	146.5	159.21	131.83	147.61	144.31	144.05	105.95	97.06	87.39	85.81	84.39	87.33
CAT	NM_001752.2	CAT	Endogenous	mRNA	100			642.39	647.57	590.43	863.07	860.12	851.07	715.57	737.27	705.91	831.42	864.95	908.9	568.87	602.03	596.96	251.45	232.9	208.38	370.43	303.71	327.34	301.3	297.5	275.91	336.11	368.58	424.04	488.39	524.67	487.52	400.75	402.15	425.96	463.79	432.63	444.88	565.49	564.22	566.67	453.37	443.14	414.38	367.99	377.38	339.81
CCT2	NM_006431.2	CCT2	Endogenous	mRNA	100			719.29	781.48	814.14	944.86	872.27	834.39	738.96	741.39	805.25	798.9	843.08	830.78	712.08	711.6	731.04	680.91	607.85	602.17	709.41	705.09	685.64	713.12	685.28	710.83	553.18	567.82	584.33	651.19	652.81	675.05	630.68	547.49	597.78	665.6	676.29	648.66	892.03	907.75	962.14	941.85	881.82	867.28	919.76	773.07	835.73
CCT5	NM_012073.3	CCT5	Endogenous	mRNA	100			403.42	387.74	416.3	320.13	375.35	432.6	434.96	354.22	355.07	379.93	416.62	382.93	343.94	358.4	407.44	274.67	337.66	304.3	307.34	405.52	372.25	284.27	386.5	384.68	467.03	395.96	436.47	432.77	401.33	446.48	388.56	402.24	442.95	434.36	456.86	481.05	419.93	423.49	471.68	316.05	322.75	307.9	340.51	348.88	357.59
CCT6A	NM_001762.3	CCT6A	Endogenous	mRNA	100			1095.5	1075.29	1115.12	1294.61	1235.47	1196.38	1190.75	1142.29	1174.06	1200.95	1154.73	1116.87	852.82	916.01	915.47	804.62	828.99	730.16	821.89	1052.38	976.26	826.81	970.49	964.59	739.46	723.62	745.93	838.46	882.6	845.93	765.8	871.54	813.72	818.23	826.13	885.26	1392.82	1229.98	1332.28	1109.81	1127.92	1038.88	1055.05	1046.2	1111.53
CCT7	NM_001009570.2	CCT7	Endogenous	mRNA	100			373.84	396.74	371.32	518.97	417.9	448	405.96	422.87	400.51	452.79	434.12	461.05	261.51	257.21	290.87	258.85	244.54	275.32	290.18	310.44	287.25	272.99	275.05	236.91	257.13	247.53	276.28	323.46	283.12	298.11	259.24	313.17	291.5	284.74	281.31	272.14	391.11	413.73	403.34	486.15	460.74	414.12	426.48	406.6	378.44
CCT8	NM_006585.2	CCT8	Endogenous	mRNA	100			868.35	863.43	876.41	978.71	1016.64	1055.18	911.07	882.8	890.85	817.11	928.38	908.9	868.33	863.02	804.34	758.19	731.23	785.41	829.05	872.19	864.99	836.88	895.25	919.6	811.78	829.31	871.55	1018.09	954.77	986.47	872.55	928.29	873.44	915.13	964.49	948.92	1168.63	1077.26	1107.77	937.94	907.98	907.29	893.4	940.81	871.62
CD36	NM_000072.3	CD36	Endogenous	mRNA	100			560.76	561.63	603.11	306.02	313.05	275.99	410.64	425.61	425.87	247.22	273.37	272.89	191.98	198.38	214.95	59.22	130.13	92.25	62.14	110.78	114.72	52.11	121.09	129.56	161.39	167.39	194.09	162.62	171.95	168.52	176.54	169.82	174.49	157.49	189.46	181.48	170.67	164.26	161.01	55.34	55.03	66.55	110.75	108.79	115.63
CD40	NM_001250.4	CD40	Endogenous	mRNA	100			133.68	119.92	145.3	155.13	133.73	160.46	146.86	140.04	150.06	122.31	123.56	121.04	106.64	122.8	105.93	307.05	392.93	337.51	229.42	264.32	275.31	196.91	301.8	322.96	212.02	220.3	213.92	246.99	238.81	258.16	250.24	237.5	244.26	229.32	210.01	225.66	278.76	283.27	290.88	234.77	237.22	214.32	271.1	279.22	249.12
CETP	NM_000078.2	CETP	Endogenous	mRNA	100			5.92	5	5.77	1.41	10.64	5.13	2.81	10.98	10.57	10.41	6.56	6.6	6.68	2.46	2.86	1.94	8.93	3.81	3.85	1.05	7.11	2.42	6.13	6.37	1.8	2.79	1.88	1.31	4.13	2.29	1.85	1.84	2	2.55	3.12	1.85	7.18	6.74	7.95	6.37	8.01	12.22	5.57	8.7	7.25
CFOS	NM_005252.3	CFOS	Endogenous	mRNA	100			238.97	197.87	192.58	390.64	395.11	403.07	405.02	417.38	387.83	350.01	370.69	333.41	265.49	298.74	286.44	38.92	28.59	35.76	16.36	30.3	25.07	16.19	24.14	27.25	126.08	111.36	105.99	82.05	73.46	69.8	96.4	106.17	84.14	145.46	137.09	152.07	168.54	187.02	201.41	83.05	81.99	81.47	61.31	65.49	71.84
CLOCK	NM_004898.2	CLOCK	Endogenous	mRNA	100			52.05	57.96	48.43	76.15	62.31	75.74	63.61	63.16	68.69	59.85	68.89	67.12	57.18	46.33	70.59	46.54	49.77	33.88	40.89	37.37	51.75	33.74	50.76	40.11	53.86	46.93	43.36	42.06	47.56	61.9	38.95	40.31	54.64	48.46	45.99	47.44	45.09	45.16	52.8	42.07	39.81	26.64	43.94	30.66	31.15
COL1A1	NM_000088.3	COL1A1	Endogenous	mRNA	100			1.18	4	2.31	4.23	6.08	2.57	4.68	4.12	1.06	14.31	2.19	3.3	5.47	4.03	11.73	23.86	9.4	3.12	9.47	6.02	2.19	5.96	2.01	3.65	8.38	13.94	5.49	10.18	3.61	13.91	10.39	8.56	19.83	8.18	6.46	10.33	9.61	6.45	9.38	7.03	10.05	7.3	15.97	11.81	2.19
COL1A2	NM_000089.3	COL1A2	Endogenous	mRNA	98.08			2.37	1	10.38	1.41	7.6	10.27	7.48	6.86	6.34	9.11	6.56	4.4	36.75	29.12	28.16	41.44	27.64	34.68	52.67	20.29	16.6	21.55	18.18	20.59	6.86	4.05	12.78	11.1	5.26	8.56	8.18	9.34	5.94	6.49	8.81	9.39	46.71	51.6	42.91	59.09	28.73	55.52	39.35	70.94	32.85
COL4A1	NM_001845.4	COL4A1	Endogenous	mRNA	100			1.18	3	4.61	5.64	6.08	3.85	7.48	1.37	6.34	10.41	1.09	4.4	5.57	8.2	11.93	19.42	8.5	8.46	9.63	5.25	2.96	1.64	9.19	3.18	17.46	10.84	7.32	15.27	14.05	16.05	12.98	14.27	40.83	16.11	20.19	15.79	5.59	3.93	6.13	8.58	2.92	4.46	4.38	8.01	7.24
COL4A4	NM_000092.4	COL4A4	Endogenous	mRNA	100			7.1	11.99	16.14	22.56	7.6	12.84	12.16	6.86	16.91	19.52	14.22	8.8	6.59	5.66	3.77	17.88	5.03	3.34	8.87	5.52	2.92	4.25	2.82	3.35	12.93	11.47	14.68	14.66	14.86	22.01	12.46	18.72	13.2	8.41	11.63	8.86	8.04	16.35	13.07	15.09	15.41	5.7	8.39	5.12	11.75
COL4A5	NM_000495.4	COL4A5	Endogenous	mRNA	100			9.46	4	16.14	14.1	9.12	5.13	6.55	12.36	11.62	10.41	7.65	6.6	8.5	9.4	9.11	17.3	6.49	8.07	7.36	9.35	3.4	5.14	3.9	3.24	12.22	6.5	12.81	3.56	5.62	3.75	6.06	5	5.44	6.07	3.77	6.03	28.16	19.83	45.8	26.43	29.44	29.95	21	31.41	29.93
CRY	NM_004075.3	CRY	Endogenous	mRNA	100			287.48	259.83	253.7	308.84	306.97	305.51	261.91	245.76	267.36	273.24	286.5	278.39	165.93	199.13	197.17	146.01	127.19	102.68	152.23	128.02	127.9	136.66	111.4	113.56	165.42	145.34	161.71	180.19	182.89	203.31	155.88	174	194.95	177.53	184.3	172.81	241.27	283.89	247.38	217.86	192.67	204.62	166.74	164.5	194.74
CSF1R	NM_005211.3	CSF1R	Endogenous	mRNA	100			727.57	734.51	769.17	641.66	606.34	748.38	756.73	705.69	772.49	787.19	845.27	859.39	451.53	604.02	542.73	213.49	441.88	358.46	135.69	328.59	290.35	144.72	369.96	331.03	631.13	617.81	607.46	722.73	756.86	725.28	742.92	711.84	744.39	591.65	579.63	673.39	615.97	577.36	575.46	399.3	429.75	468.38	413	427.12	477.55
CTSK	NM_000396.2	CTSK	Endogenous	mRNA	100			412.88	404.73	397.85	259.49	259.86	255.45	309.61	319.9	293.78	187.36	131.22	169.46	181.91	224.12	218.33	79.48	39.57	31.82	77.57	117.08	106.83	68.26	81.3	80.69	49.95	58.75	75.52	66.62	50.77	73.59	44.17	61.75	75.06	55.24	73.48	55.4	57.57	55.12	49.57	30.05	37.77	33.61	35.36	36.7	26.99
DDC	NM_000790.3	DDC	Endogenous	mRNA	100			4.73	6	5.77	5.64	6.08	5.13	1.87	2.75	3.17	3.9	6.56	1.1	2.67	6.56	5.35	5.18	6.12	4.74	4.11	2.8	5.69	3.88	2.94	2.38	3.35	2.97	5.27	4.89	7.71	7.7	3.46	6	7.47	4.76	7.75	3.44	5.59	3.15	4.36	6.87	7.01	3.57	8	5.34	2.67
DYNLL2	NM_080677.2	DYNLL2	Endogenous	mRNA	100			702.73	732.51	764.55	929.35	898.11	842.09	743.64	683.73	666.81	910.79	815.75	861.59	516.36	490.61	561.92	523.34	413.65	426.39	673.94	462.27	501.01	564.43	424.49	419.56	431.05	401.04	389.32	586.83	547.7	542.67	497.03	483.53	555.69	545.97	506.18	577.41	577.4	564.24	611.42	611.12	639.07	589	571.75	569.67	493.67
EDN1	NM_001168319.1	EDN1	Endogenous	mRNA	100			13.01	9.99	18.45	18.33	30.39	25.67	30.87	35.7	26.42	18.22	14.22	15.41	10.14	11.39	15.55	127.15	228.91	187.59	50.45	93.18	84.06	46.7	138.35	120.18	72.56	86.37	91.48	41.06	48.58	43.16	64.52	69.47	76.73	64.53	65.17	56.63	116.02	108.93	77.7	184.01	128.44	176.6	236.17	267.52	284.66
ELN	NM_000501.1	ELN	Endogenous	mRNA	96.15			3.55	4	4.61	2.82	3.04	6.42	5.61	4.12	5.28	5.2	2.19	3.3	7.42	1.37	6.36	6.47	7.09	14.1	4.28	2.33	1.09	1.09	2.72	1.42	5.71	1	6.99	2.78	6.57	3.89	5.51	5.84	7.42	1	2.94	3.91	6.7	7.69	6.54	9.15	7.01	8.71	9.33	3.56	7.72
ERBB2	NM_001005862.1	ERBB2	Endogenous	mRNA	100			7.1	18.99	8.07	8.46	21.27	26.96	17.77	9.61	14.79	9.11	1.09	1.1	4.19	6.61	6.16	13.92	6.86	6.37	13.12	4.89	3.83	7.53	3.29	3.42	17.24	12.46	17.41	19.86	43.33	26.75	9.5	18.28	25.61	10.88	20.19	17.85	10.07	10.4	6.88	10.31	8.42	18.2	6.31	11.55	12.04
ERCC1	NM_001983.3	ERCC1	Endogenous	mRNA	100			123.04	145.9	155.68	160.77	153.48	156.61	150.6	152.4	139.49	143.12	156.37	165.06	151.95	151.88	127.16	126.2	115.1	128.24	98.76	117.45	122.63	93.33	121.22	102.51	85.36	94.04	87.53	89.34	101.4	114.05	72.88	113.14	121.21	77.23	115.04	116.46	106.05	92.74	112.62	77.71	76.1	79.61	85.61	75.55	87.01
ERCC6	NM_001277058.1	ERCC6	Endogenous	mRNA	100			70.98	65.96	74.96	102.95	112.45	89.86	70.15	89.24	83.48	94.98	78.73	94.63	82.36	80.29	79.95	69.01	54.57	45.08	74.04	73.82	79.31	62.1	60.87	50.33	74.31	69.69	70.12	86.67	97.67	71.58	96.51	78.13	100.51	88.15	99.89	89.9	60.36	69.37	63.98	57.54	58.76	65.29	53.09	54.72	50.6
EndoG	NM_004435.2	EndoG	Endogenous	mRNA	100			108.84	93.94	107.25	148.08	164.12	127.08	96.35	111.21	96.16	114.5	127.94	117.74	92.54	102.85	96.33	84.55	51.73	64.64	92.45	84.11	83.58	78.73	79.72	54.8	63.28	79.53	81.55	65.34	81.87	83.51	91.52	78.16	92.51	80.46	86.43	82.37	110.38	99.41	119.81	66.89	82.44	97.03	78.63	80.77	82.59
F3	NM_001993.4	F3	Endogenous	mRNA	100			15.38	17.99	18.45	19.74	10.64	12.84	13.1	19.22	10.57	16.91	19.68	23.11	3.73	5.5	4.27	75.22	162.43	122.83	20.09	69.57	47.02	22.86	80.32	68.28	30.62	23.46	29.19	27.06	30.42	21.33	31.06	24.19	32.56	41.49	30.06	24.03	13.5	16.57	15.2	43.59	30.4	37.54	53.9	47.65	54.62
FBN1	NM_000138.3	FBN1	Endogenous	mRNA	100			22.48	18.99	26.52	25.38	30.39	26.96	29	21.97	40.16	35.13	22.96	24.21	19	13.03	12.92	21.33	11	10.45	15.87	9.47	8.37	9.51	7.93	5.24	6.11	7.74	13.73	5.94	7.03	5.35	4.33	2.68	11.67	8.05	5.39	6.46	11.17	8.16	14.54	11.44	18.18	3.96	8.89	11.87	13.85
FGF2	NM_002006.4	FGF2	Endogenous	mRNA	100			4.73	7	3.46	4.23	12.16	7.7	3.74	5.49	1.06	5.2	5.47	4.4	4.28	3.94	4.59	11.21	10.63	4.88	8.65	6.73	6.84	7.77	5.5	7.35	9.58	7.37	11.38	4.97	13.95	6.52	7.39	9.14	6.4	7.71	7.88	9.45	20.58	13.81	10.04	6.02	12.3	9.38	13.16	11.25	10.55
FLG-F	NM_002016.1	FLG-F	Endogenous	mRNA	96.15			10.65	9.99	18.45	19.74	18.24	19.26	23.38	9.61	17.96	11.71	7.65	14.3	2.34	1.73	4.02	16.35	1	4.75	7.21	1.96	1.66	1.89	1.43	1	6.92	10.92	6.45	7.48	5.31	11	3.81	5.5	8.57	5.46	10.68	11.38	7.19	8.78	11.23	7.37	7.52	9.95	7.73	11.69	5.16
FOXO	NM_002015.3	FOXO	Endogenous	mRNA	100			302.86	285.81	296.37	296.15	276.57	229.78	301.2	251.25	269.47	323.98	278.84	228.88	297.99	239.51	279.78	382.24	144.47	177.84	249.6	114.43	130.31	228.21	102.38	114.49	189.48	208.62	203.76	205.88	213.44	240.26	210.42	220.51	240.3	245.52	220.35	217.31	301.28	259.21	268.18	295.58	324.25	316.38	315.91	315.77	275.3
GBA	NM_001005742.2	GBA	Endogenous	mRNA	100			1760.36	1690.88	1614.44	1637.29	1533.32	1542.97	1578.94	1545.94	1596.76	1574.37	1506.83	1689.06	1005.05	1122.95	1060.71	451.86	722.49	602.83	523.42	933.79	877.41	527.15	944.99	891.46	857.48	810.79	850.64	727.86	766.86	807.08	737.67	765.53	731.37	818.51	840.73	792.18	1094.05	990.32	1050.61	757.85	753.82	755.53	675.74	775.33	805.85
GPX1	NM_000581.2	GPX1	Endogenous	mRNA	100			4425.75	4456.04	4609.24	4254.71	4422.16	4785.52	4110.11	4279.47	4174.19	4240.4	4542.37	4373.96	3673.23	4255.49	4161.96	1682.11	2738.25	2413.4	2754.22	4732.36	4251.21	2374.83	4653.25	4196.05	2901.26	2962.44	2814.76	2678.23	2834.19	2832.11	2666.43	2459.68	2624.61	2688.98	2965.38	3172.57	2629.46	2655.4	2677.78	2249.1	2142.58	2242.8	1920.14	2090.19	2210.6
GRK5	NM_005308.2	GRK5	Endogenous	mRNA	100			143.15	180.88	175.28	193.2	167.16	183.56	169.31	145.53	168.02	156.14	188.08	160.65	128.25	144.31	149.64	143.95	93.85	115	180.8	121.44	134.66	152.07	116.97	119.84	156.64	120.54	179.32	160.01	150.73	143.71	126.82	145.42	142.44	188.31	176.3	165.59	112.24	126.03	123.09	165.88	165.76	142.75	136.71	126.12	116.21
Glut4	NM_001042.2	Glut4	Endogenous	mRNA	100			4.73	2	8.07	1.41	1.52	8.99	5.61	4.12	2.11	11.71	9.84	5.5	10.39	9.57	11.14	3.02	11.91	9.87	14.99	9.8	4.15	8.8	8.58	6.93	5.5	16.26	7.69	8.91	8.43	11.24	9.09	5.62	12.25	3.9	11.31	13.56	4.89	3.67	5.73	8.01	8.18	6.24	3.5	8.41	7.01
HAS2	NM_005328.2	HAS2	Endogenous	mRNA	100			3.55	4	8.07	4.23	6.08	7.7	1.87	4.12	2.11	11.71	7.65	11	4.73	4.07	7.44	8.26	1.2	3	9.1	1.98	1.68	3.43	2.6	1.5	3.45	7.13	8.43	3.35	5.28	5.87	1.9	3.52	10.24	5.71	3.54	4.72	4.13	2.33	7.25	2.54	1.73	9.66	5.17	7.9	2.63
HAS3	NM_138612.2	HAS3	Endogenous	mRNA	98.08			10.65	7.99	12.68	11.28	7.6	21.82	6.55	13.73	13.74	20.82	9.84	9.9	3.22	5.34	5.53	10.3	9.23	5.51	7.43	3.04	2.57	3.51	4.43	2.46	1.52	2.69	4.77	1.47	1.74	4.64	1.88	3.1	6.75	1.61	2.34	1	11.94	11.21	25.42	13.34	19.3	26.55	10.69	14.53	6.92
ICAM1	NM_000201.2	ICAM1	Endogenous	mRNA	100			283.93	266.82	274.46	289.1	297.85	311.93	282.49	313.03	307.52	271.94	254.78	258.59	157.19	207.79	185.82	247.23	358.82	317.34	201.35	358.7	307.44	188.88	379.69	330.83	248.42	241.69	267.03	231.29	262.88	300.73	252.76	300.88	262.77	236.31	257.62	294.36	341.94	325.78	386.04	379.29	348.78	393.95	414.05	378.21	442.22
IFNG	NM_000619.2	IFNG	Endogenous	mRNA	100			9.46	9.99	17.3	19.74	21.27	15.4	13.1	27.46	14.79	18.22	24.06	12.1	11.96	12.66	11.53	86.9	79.32	79.47	39.65	22.07	26.66	30.72	23.58	21.65	14.99	15.8	9.83	20.04	17.24	18.19	19.36	20.12	18.79	11.97	18.07	16.95	27.76	27.44	25.67	52.37	48.89	71.49	73.24	76.84	76.87
IGF1	NM_000618.3	IGF1	Endogenous	mRNA	100			15.38	11.99	20.76	21.15	21.27	21.82	15.9	10.98	17.96	20.82	14.22	14.3	3.55	3.92	10.64	6.19	1.35	5.39	8.18	2.23	1.04	6.86	2.6	2.7	12.12	16.9	5.45	8.42	15.94	1.77	2.86	5.31	5.79	2.46	6.68	5.7	13.73	18.05	12.06	12.65	14.36	10.22	7.37	9.19	14.23
